Pango Lineage,WHO Label
B.1.1.7,Alpha
B.1.351,Beta
P.1,Gamma
B.1.617.2,Delta
B.1.617.1,Kappa
B.1.427,Epsilon
B.1.429,Epsilon
B.1.525,Eta
B.1.526,Iota
C.37,Lambda
B.1.621,Mu
B.1.1.529,Omicron
BA.1,Omicron
BA.2,Omicron
BA.4,Omicron
BA.5,Omicron
BA.2.12.1,Omicron
BA.2.75,Omicron
BQ.1,Omicron
XBB,Omicron
XBB.1.5,Omicron
XBB.1.16,Omicron
CH.1.1,Omicron
XBB.1.9,Omicron
XBB.2.3,Omicron
EG.5.1,Omicron
XBB.1.5.70,Omicron
HK.3,Omicron
BA.2.86,Omicron
B.1.177,
B.1.1.519,
B.1.620,
B.1.160,
B.1.258,
B.1.221,
B.1.367,
B.1.1.277,
B.1.1.302,
